,date,shareholder,shareholder position,trading type,shares
102,2015-07-31,CTCP Đầu tư Châu Á - Thái Bình Dương,Khác,Mua,1000000
103,2015-07-08,CTCP Đầu tư Châu Á - Thái Bình Dương,Khác,Đăng ký mua,1000000
104,2015-03-23,Lucerne Enterprise Ltd,Khác,Mua,7300000
105,2015-03-20,Asean Small Cap Fund,Khác,Mua,650000
106,2015-03-19,Lê Hồng Nam,Khác,Mua,1450000
107,2014-11-19,Đặng Thanh Tú,Khác,Bán,113500
108,2014-11-18,Đặng Thanh Tú,Khác,Bán,618000
109,2014-10-21,David Peter O'Neil,Khác,Mua,58600
110,2014-09-22,David Peter O'Neil,Khác,Đăng ký mua,165000
111,2014-04-29,Đặng Thanh Tú,Khác,Mua,51900
112,2014-04-25,Nguyễn Kim Dung,Khác,Bán,6000
113,2014-04-15,Nguyễn Thị Bổn,Khác,Mua,110700
114,2014-04-03,Nguyễn Thị Hồng Cúc,Khác,Bán,500000
115,2014-04-03,Đặng Thanh Tú,Khác,Mua,500000
116,2014-04-01,Nguyễn Kim Dung,Khác,Đăng ký bán,6000
117,2014-03-28,Nguyễn Thị Bổn,Khác,Đăng ký mua,1000000
118,2014-03-24,Nguyễn Thị Hồng Cúc,Khác,Mua,230200
119,2014-03-21,Nguyễn Thị Bổn,Khác,Mua,379800
120,2014-02-26,Nguyễn Thị Bổn,Khác,Đăng ký mua,1000000
121,2014-02-20,Nguyễn Thị Hồng Cúc,Khác,Mua,154400
122,2014-02-18,Nguyễn Thị Bổn,Khác,Mua,165500
123,2014-01-24,Nguyễn Duy Khanh,Khác,Mua,300000
124,2014-01-23,Nguyễn Thị Bổn,Khác,Đăng ký mua,757600
125,2014-01-17,Nguyễn Thị Bổn,Khác,Mua,242400
126,2014-01-13,Đặng Anh Tuấn,Khác,Mua,0
127,2013-12-25,Nguyễn Duy Khanh,Khác,Đăng ký mua,500000
128,2013-12-25,Nguyễn Thị Bổn,Khác,Đăng ký mua,1000000
129,2013-12-24,Nguyễn Tiến Lộc,Khác,Mua,200000
130,2013-12-13,Đặng Anh Tuấn,Khác,Đăng ký mua,10000
131,2013-12-02,Nguyễn Tiến Lộc,Khác,Đăng ký mua,200000
132,2013-11-25,Asean Small Cap Fund,Khác,Mua,329700
133,2013-09-11,Asean Small Cap Fund,Khác,Mua,200000
134,2013-07-02,Asean Small Cap Fund,Khác,Mua,83400
135,2013-06-18,Asean Small Cap Fund,Khác,Mua,418600
136,2013-05-21,Asean Small Cap Fund,Khác,Mua,297800
137,2013-05-03,Asean Small Cap Fund,Khác,Mua,129800
138,2010-06-15,Huỳnh Tiến Dũng,Khác,Bán,0
139,2010-06-15,Nguyễn Duy Khanh,Khác,Bán,1362309
140,2010-06-15,Nguyễn Đỗ Lăng,Thành viên HĐQT,Bán,6000000
141,2010-06-09,Huỳnh Tiến Dũng,Khác,Đăng ký bán,81000
142,2010-05-15,Nguyễn Duy Khanh,Khác,Đăng ký bán,1362309
143,2010-05-15,Nguyễn Đỗ Lăng,Thành viên HĐQT,Đăng ký bán,6000000
144,2010-02-22,Huỳnh Tiến Dũng,Khác,Bán,0
145,2010-01-25,Nguyễn Thị Bổn,Khác,Bán,0
146,2010-01-22,Huỳnh Tiến Dũng,Khác,Đăng ký bán,81000
147,2010-01-13,Nguyễn Thị Bổn,Khác,Đăng ký bán,60000
