,date,open price,high price,low price,close price,AVG price,adjusted close price,volume,value fluctuation,rate fluctuation
1728,2016-01-04,11.3,11.4,10.9,11.0,11.02,4.8100000000000005,417400,-0.4,-3.51
1729,2015-12-31,11.2,11.4,10.7,11.4,10.83,4.98,513100,0.3,2.7
1730,2015-12-30,10.6,11.1,10.4,11.1,10.59,4.85,277200,0.5,4.72
1731,2015-12-29,10.0,10.6,9.9,10.6,10.16,4.63,185900,0.5,4.95
1732,2015-12-28,9.7,10.1,9.7,10.1,9.79,4.41,303700,0.3,3.06
1733,2015-12-25,10.0,10.2,9.8,9.8,9.99,4.28,435800,-0.3,-2.97
1734,2015-12-24,10.0,10.2,10.0,10.1,10.09,4.41,453200,0.0,0.0
1735,2015-12-23,10.1,10.2,9.9,10.1,10.07,4.41,222600,-0.1,-0.98
1736,2015-12-22,10.1,10.3,10.1,10.2,10.17,4.46,415200,0.0,0.0
1737,2015-12-21,10.5,10.5,10.2,10.2,10.32,4.46,445300,-0.3,-2.86
1738,2015-12-18,10.4,10.6,10.3,10.5,10.42,4.59,319700,-0.1,-0.94
1739,2015-12-17,10.7,10.8,10.4,10.6,10.61,4.63,454420,-0.1,-0.93
1740,2015-12-16,10.6,10.7,10.5,10.7,10.63,4.67,449800,0.1,0.94
1741,2015-12-15,10.3,10.6,10.2,10.6,10.33,4.63,527100,0.3,2.91
1742,2015-12-14,10.3,10.4,10.1,10.3,10.22,4.5,501700,-0.1,-0.96
1743,2015-12-11,9.9,10.4,9.5,10.4,9.86,4.54,607000,0.6,6.12
1744,2015-12-10,10.2,10.2,9.8,9.8,10.03,4.28,523100,-0.4,-3.92
1745,2015-12-09,9.8,10.2,9.6,10.2,9.8,4.46,527100,0.4,4.08
1746,2015-12-08,9.1,9.8,9.0,9.8,9.39,4.28,619900,0.7,7.69
1747,2015-12-07,9.2,9.2,9.0,9.1,9.1,3.98,153700,-0.1,-1.09
1748,2015-12-04,9.3,9.4,9.2,9.2,9.3,4.02,186000,-0.2,-2.13
1749,2015-12-03,9.4,9.5,9.3,9.4,9.42,4.11,125400,0.0,0.0
1750,2015-12-02,9.5,9.6,9.4,9.4,9.56,4.11,122300,-0.1,-1.05
1751,2015-12-01,9.5,9.6,9.4,9.5,9.5,4.15,60100,0.0,0.0
1752,2015-11-30,9.8,9.8,9.5,9.5,9.65,4.15,239540,-0.4,-4.04
1753,2015-11-27,10.1,10.2,9.9,9.9,10.1,4.33,158300,-0.2,-1.98
1754,2015-11-26,10.3,10.3,10.1,10.1,10.22,4.41,160900,-0.2,-1.94
1755,2015-11-25,10.4,10.5,10.2,10.3,10.34,4.5,200400,-0.1,-0.96
1756,2015-11-24,10.6,10.7,10.4,10.4,10.57,4.54,282400,-0.3,-2.8
1757,2015-11-23,10.8,10.9,10.6,10.7,10.68,4.67,318800,-0.1,-0.93
1758,2015-11-20,11.1,11.2,10.8,10.8,11.13,4.72,649100,-0.4,-3.57
1759,2015-11-19,11.1,11.2,10.8,11.2,10.89,4.89,634700,0.2,1.82
1760,2015-11-18,10.8,11.1,10.6,11.0,10.79,4.8100000000000005,610000,0.1,0.92
1761,2015-11-17,11.0,11.2,10.7,10.9,10.93,4.76,893700,-0.1,-0.91
1762,2015-11-16,10.7,11.0,10.5,11.0,10.64,4.8100000000000005,840300,0.2,1.85
1763,2015-11-13,11.0,11.0,10.7,10.8,10.82,4.72,761500,-0.2,-1.82
